id|fullname|Nation_team|Batting|Bowling
2979|Tisse Appuhamilage Milinda Siriwardana|Sri Lanka,Basnahira South,Chilaw Marians Cricket Club,Chittagong Division,Dhaka Division,Kalutara Vidyalaya,Kandurata Maroons,Ruhuna,Sebastianites Cri|Left-hand bat|Slow left-arm orthodox
2980|Binura Fernando|Sri Lanka,Ruhuna Reds,Sinhalese Sports Club,Sri Lanka A,Sri Lanka Under-19s|Right-hand bat|Left-arm medium-fast
2982|Dampalage Shehan Naveendra Fonseka Gunawardene Jayasuriya|Sri Lanka,Chittagong Kings,Kandurata Maroons,Moors Sports Club,Police Sports Club,Sri Lanka Under-19s,Sri Lanka Under-23s|Left-hand bat|Right-arm offbreak
2983|Madagamagamage Dasun Shanaka|Sri Lanka,Sinhalese Sports Club,Sri Lanka Under-19s|Right-hand bat|Right-arm medium
2984|George Herrick Worker|New Zealand,Scotland,Canterbury,Central Districts,New Zealand A,New Zealand Under-19s|Left-hand bat|Slow left-arm orthodox
2986|Marcus Peter Stoinis|Australia,Australia A,Delhi Daredevils,Kent 2nd XI,Perth Scorchers,Scarborough,Victoria,Victoria Under-23s,Victorian XI,Western Australia,Western Aust|Right-hand bat|Right-arm medium
3019|Tyron Henderson|South Africa|Right-hand bat|Right-arm fast-medium
3021|Jadhavji Shah Jesani|Kenya|Right-hand bat|Right-arm offbreak
3022|Christopher Paul Schofield|England|Left-hand bat|Legbreak
3023|Wijekoon Mudiyanselage Gayan Ramyakumara|Sri Lanka|Left-hand bat|Left-arm medium
3024|Luke Anthony Pomersbach|Australia|Left-hand bat|Right-arm offbreak
3025|William Keith Donald Perkins|West Indies|Right-hand bat|none
3029|Shoaib Khan|Pakistan|Left-hand bat|Right-arm medium-fast
3031|Amjad Khan|England|Right-hand bat|Right-arm fast-medium
3033|Rupasinghe Jayawardene Mudiyanselage Gihan Madushanka Rupasinghe|Sri Lanka|Left-hand bat|Legbreak
3034|Heino Gunther Kuhn|South Africa|Right-hand bat|none
3035|Halwathurage Chinthaka Umesh Jayasinghe|Sri Lanka|Right-hand bat|Right-arm medium
3036|Simon James Stevenson Smith|Scotland|Right-hand bat|none
3037|Travis Rodney Birt|Australia|Left-hand bat|Right-arm medium
3039|Stephen Norman John O'Keefe|Australia|Right-hand bat|Slow left-arm orthodox
3040|Christopher Dion Barnwell|West Indies|Right-hand bat|Right-arm medium-fast
3041|Ashley Renaldo Nurse|West Indies|Right-hand bat|Right-arm offbreak
