bat_id,Attack_swot,Defend_swot,Leave_swot,Gentle Shot_swot,Back Foot_swot,Front Foot_swot,Wide Off Stump_swot,Outside Off Stump_swot,Stumps_swot,Down Leg Stump_swot,Wide Down Leg Stump_swot,Yorker_swot,Full Toss_swot,Full Length_swot,Good Length_swot,Short of Length_swot,Over Pitched_swot,Fine Leg Region_swot,Square Leg Region_swot,Wid-Wicket Region_swot,Long On Region_swot,Long Off Region_swot,Cover Region_swot,Point Region_swot,Third-man Region_swot
1766,0.114734,0.709927,0.0302393,-0.437267,-0.102286,-0.0032182,-0.3,0.122226,-0.119344,-0.501906,-0.3,-0.190385,-0.703607,-0.322082,-0.29328,-0.350643,0.0661847,-0.0434734,-0.102855,0.105959,0.196583,-0.260001,-0.322368,-0.410801,0.255147
1767,0.368237,-0.320988,-0.172677,0.645251,-0.249052,-0.110147,-0.0148148,0.0979303,-0.129914,0.0994042,-0.3,0.435092,0.119154,0.124497,-0.0887426,0.101732,0.0502636,-0.520047,-0.239301,0.283793,0.7593,0.822696,0.0968299,-0.100366,0.706139
1769,0.1074,0.822607,-0.307897,-0.129567,-0.507945,-0.239312,0.3,0.195578,-0.138766,-0.238955,-0.3,0.762207,-0.254132,0.479792,-0.0908505,-0.0296531,-0.0802892,0.0383183,-0.0733648,0.137204,0.176974,0.489942,0.0544436,-0.33878,-0.362243
1770,0.250712,-0.0571677,-0.550748,0.701961,-0.00195851,-0.553268,0,-0.116303,0.095134,-0.67628,-1,-0.356354,0.0253937,0.436805,0.126385,-0.0713285,-0.533256,-0.444255,-0.0636704,-0.022094,0.77126,-0.181466,-0.231389,0.710464,-0.0565811
1771,0.0867407,-0.675924,-0.562405,-0.369301,-0.0578002,-0.403432,0,-0.135381,-0.0818207,0.190209,-0.3,-1,-0.0380581,-0.0782556,0.0629771,0.0401999,0.139422,-0.0691261,-0.272784,0.721238,-0.176985,-0.0912739,-0.404949,0.194367,-0.29083
1782,-0.165171,-0.295071,0.792982,0.0600939,-0.360856,0.0330755,-0.177778,-0.0702347,0.336328,-0.300274,-0.3,0.522578,0.0166331,0.264825,0.087142,0.323649,-0.511039,-0.252624,0.155419,0.648454,0.0447044,0.425315,-0.204356,0.254489,-0.108713
1811,0.653969,0.957073,-0.739498,0.0840894,-0.0571932,-0.121315,0,-0.0508983,0.729971,-0.240086,-0.3,0.0507692,0.154389,0.240488,0.43135,0.10246,0.0138726,0.0591372,-0.574595,-0.261602,-0.0145595,0.200793,0.266365,-0.422832,-0.38567
1812,0.832985,-0.13468,0.69616,-0.326079,0.18301,0.270478,-0.116667,0.497337,0.096533,0.444148,-0.3,0.675113,-0.490369,0.0887117,0.40866,-0.0438358,-0.0162069,-0.0479739,-0.418974,-0.0159805,-0.196974,0.352186,-0.0421157,-0.0465885,0.413645
1813,-0.164221,-0.11691,-0.520398,-0.677043,-0.153212,0.0037649,0,-0.199652,-0.327704,-0.175562,-0.3,-0.0678733,-0.618923,-0.462732,-0.912335,-0.183198,0,-0.049174,-0.0315432,-0.273327,-0.0236085,-0.374586,-0.6087,-0.310784,-0.677831
1815,0.230258,-0.285405,-0.498186,0.320782,-0.0842619,-0.552777,0.3,0.330844,-0.166816,-0.426342,-0.3,-0.0807692,-0.450828,0.668981,-0.172832,-0.050431,0.0295662,0.0358166,0.0746549,-0.129702,0.676978,-0.251542,-0.231656,0.689397,-0.268865
1824,0.114734,0.366005,0.154647,0.504106,0.00755528,-0.0121182,0.188889,-0.23043,0.290281,0.492612,-0.3,-0.00769231,-0.030574,0.243432,0.321279,-0.119449,-0.153526,-0.0167947,0.520699,0.75852,-0.44301,0.742625,-0.00708804,0.317649,0.455975
1858,0.335358,0.619888,-0.437805,0.727379,-0.516039,0.101528,-0.08,0.758502,0.32802,0.319285,-0.3,-0.00672307,0.316151,0.492591,0.597618,0.0771738,-0.538465,-0.388931,-0.436005,0.235533,-0.00241287,0.726656,-0.314715,0.17241,0.563749
1860,-0.0796767,0.404308,-0.231709,-0.391877,0.0212852,0.525829,-0.3,-0.280572,-0.136191,0.28389,0.3,-0.0625,0.0196315,-0.150152,-0.0628863,-0.107528,-0.272093,0.219915,0.270898,-0.147135,0.352041,0.70647,-0.399663,-0.261288,-0.341419
1862,0.353326,-0.134638,-0.778391,-0.0148143,-0.0829022,-0.215621,-0.3,0.620403,-0.38856,-0.775679,-0.3,-0.421553,-0.019348,-0.652284,-0.524573,-0.124009,-0.0802892,0.0249337,-0.100378,-0.170345,-0.363843,-0.422244,0.105627,-0.0767585,-0.0424777
1879,0.0397192,-0.715554,-1,0.111003,-0.1616,-0.148118,0,-0.0558845,-0.498024,0.0733131,0,-0.135577,0.0430192,-0.622477,-0.725812,-0.583768,-0.3,0.166412,-0.498189,-0.409512,-0.349847,-0.171833,-0.71195,-0.58389,-0.0134421
1894,-0.402158,-0.296853,0.105624,-0.0270706,0.664137,-0.0107001,-0.3,0.44293,-0.0203077,0.152005,-0.3,-0.49115,0.00616587,0.253635,-0.0544417,0.232524,-0.104702,-0.364098,-0.179361,0.393952,0.185976,0.557965,0.645128,0.709731,-0.160376
1896,0.0449509,0.406786,0.64797,0.707553,-0.127,-0.776786,-0.3,0.0533005,-0.0685195,-0.165192,0.3,-0.0533654,-0.594336,-0.158546,0.452602,-0.20045,-0.0509944,-0.348631,0.67539,0.211207,0.466338,-0.277251,-0.269634,-0.0490417,0.130579
1897,0.0127791,0.40093,-0.24728,-0.155187,0.0760653,-0.0788529,0.286667,0.323171,0.205246,0.845764,0.297849,0.048738,0.498349,0.635417,0.450181,0.16265,-0.0329006,-0.124685,0.687959,0.457432,0.685546,0.18666,0.122128,0.68445,-0.137992
1898,-0.200826,-0.457666,0.818109,-0.384317,-0.00342883,-0.880598,0,-0.226717,-0.124011,-0.207561,-0.3,-0.278845,-0.362409,0.00774855,-0.537639,-0.358716,-0.0802892,-0.0407731,-0.479333,0.50213,-0.456082,0.450834,0.05065,-0.584143,-0.119433
1905,0.703617,-0.62236,0.857939,-0.37565,-0.155389,-0.404111,0.25,0.729657,0.0226899,-0.385715,-0.3,-0.117308,-0.0823064,0.689306,0.0892157,0.17532,0.0124776,-0.0823411,0.773043,0.238221,0.109757,0.351926,-0.0998116,0.0850947,-0.204396
1906,-0.586725,0.0450265,0.240255,-0.177322,-0.234095,-0.090507,0.3,-0.292637,-0.28594,-0.479561,-0.3,0.254266,-0.0349397,0.261517,-0.664705,-0.162757,0.151628,-0.0141561,-0.034119,-0.323852,-0.232712,0.201189,0.25416,-0.138721,-0.165239
1923,-0.121065,-0.735001,-0.0266211,-0.0677924,-0.1616,0.3,-0.555556,-0.148184,-0.206528,-0.3,0,0.182897,-0.42045,-0.310521,0.268355,0.604078,-1,0.3,-0.492044,-0.424663,0.147106,-0.508321,-0.512137,-0.156151,0.395267
1930,0.121411,-0.31868,-0.536869,-0.479398,-0.0693335,-0.382479,0,0.821436,0.00883707,-0.438052,-0.3,0.0288462,-0.0297425,-0.222884,0.201215,-0.140104,-0.521064,-0.0434734,-0.370188,-0.397934,0.591911,0.0646865,-0.2394,-0.208985,-0.189827
1944,-0.179871,-0.599682,0.0971843,0.536108,-0.44667,-0.111955,-0.116667,0.363716,-0.179188,-0.514942,0.3,-0.251282,0.120978,0.172116,-0.0484222,-0.148881,-0.675008,-0.496356,-0.629123,0.180581,-0.338682,0.187655,-0.0316447,-0.0362553,-0.189827
1947,-0.713247,-0.53469,-0.898471,-0.211928,-0.737659,-0.3,-0.3,0.219343,-0.502003,-0.675509,-0.3,0.124626,-0.249686,-0.496906,0.0064199,-0.537017,-0.00705227,0.110443,-0.0219554,-0.486595,-0.318875,0.099881,0.26028,-0.538877,-0.364739
1950,0.697066,0.39261,0.130631,0.168237,0.00559585,-0.722732,-0.195238,-0.230623,0.128852,-0.213215,-0.3,0.727302,0.728248,-0.166433,-0.13383,0.0562211,-0.067365,0.67485,0.0369506,0.480584,-0.220452,-0.0641252,0.536601,0.484656,0.725443
1951,0.839696,-0.213841,0.80585,-0.311767,0.607603,0.0458256,0.0666667,0.320617,0.482054,-0.359814,-0.3,0.771474,-0.22544,-0.191025,0.751153,0.0612788,-0.0501328,-0.0897068,-0.390377,0.425936,-0.173488,-0.0712431,-0.0856444,0.147634,0.557112
1959,-0.456561,-0.347762,-0.521246,-0.4882,-0.108716,-0.103115,0,0.24053,-0.0483889,-0.0977887,-0.3,-0.470311,-0.0941885,-0.00195821,0.253352,-0.134528,-0.177938,-0.741084,-0.250385,0.463594,0.149592,-0.333999,-0.466162,0.696032,-0.245058
1967,0.122424,0.194694,0.0733017,0.384112,-0.597028,-0.105279,-0.3,-0.113008,-0.238246,0.00813146,-0.3,-0.3,0.0118356,-0.569637,-0.177283,-0.33315,-0.0203681,-0.0291079,0.0498893,-0.391242,0.529617,-0.112939,-0.296735,-0.435695,-0.314714
